,route_id,route_name,time,stop_name,lattitude,longitude
59,6,6    Lexington Avenue Local,2020-04-15 01:18:22,Pelham Bay Park,40.852462,-73.828121
60,6,6    Lexington Avenue Local,2020-04-15 01:30:00,Pelham Bay Park,40.852462,-73.828121
61,6,6    Lexington Avenue Local,2020-04-15 01:37:34,Brooklyn Bridge - City Hall,40.713065,-74.004131
62,6,6    Lexington Avenue Local,2020-04-15 01:37:37,Pelham Bay Park,40.852462,-73.828121
63,6,6    Lexington Avenue Local,2020-04-15 01:57:30,Brooklyn Bridge - City Hall,40.713065,-74.004131
64,6,6    Lexington Avenue Local,2020-04-15 01:57:00,Pelham Bay Park,40.852462,-73.828121
65,6,6    Lexington Avenue Local,2020-04-15 02:07:30,Brooklyn Bridge - City Hall,40.713065,-74.004131
66,6,6    Lexington Avenue Local,2020-04-15 02:17:30,Brooklyn Bridge - City Hall,40.713065,-74.004131
67,6,6    Lexington Avenue Local,2020-04-15 02:12:00,Pelham Bay Park,40.852462,-73.828121
68,6,6    Lexington Avenue Local,2020-04-15 00:30:54,Brooklyn Bridge - City Hall,40.713065,-74.004131
69,N,23    Broadway Local,2020-04-15 01:00:33,Kings Hwy,40.603922999999995,-73.98035300000001
70,N,23    Broadway Local,2020-04-15 01:08:13,Astoria - Ditmars Blvd,40.775036,-73.91203399999999
71,N,23    Broadway Local,2020-04-15 01:23:21,Astoria - Ditmars Blvd,40.775036,-73.91203399999999
72,N,23    Broadway Local,2020-04-15 01:33:00,86 St,40.592721000000004,-73.97823000000001
73,N,23    Broadway Local,2020-04-15 01:52:21,Astoria - Ditmars Blvd,40.775036,-73.91203399999999
74,N,23    Broadway Local,2020-04-15 02:18:00,Kings Hwy,40.603922999999995,-73.98035300000001
75,N,23    Broadway Local,2020-04-15 02:24:00,Astoria - Ditmars Blvd,40.775036,-73.91203399999999
76,N,23    Broadway Local,2020-04-15 01:10:00,86 St,40.592721000000004,-73.97823000000001
77,N,23    Broadway Local,2020-04-15 01:53:00,86 St,40.592721000000004,-73.97823000000001
78,N,23    Broadway Local,2020-04-15 02:44:00,Astoria - Ditmars Blvd,40.775036,-73.91203399999999
79,N,23    Broadway Local,2020-04-15 02:48:00,Kings Hwy,40.603922999999995,-73.98035300000001
80,N,23    Broadway Local,2020-04-15 03:04:00,Astoria - Ditmars Blvd,40.775036,-73.91203399999999
81,N,23    Broadway Local,2020-04-15 03:08:00,Kings Hwy,40.603922999999995,-73.98035300000001
82,Q,24    Broadway Express,2020-04-15 01:04:21,Coney Island - Stillwell Av,40.577422,-73.98123299999999
83,Q,24    Broadway Express,2020-04-15 01:17:21,96 St,40.784318,-73.947152
84,Q,24    Broadway Express,2020-04-15 01:36:21,96 St,40.784318,-73.947152
85,Q,24    Broadway Express,2020-04-15 01:51:00,Coney Island - Stillwell Av,40.577422,-73.98123299999999
86,Q,24    Broadway Express,2020-04-15 01:53:21,Coney Island - Stillwell Av,40.577422,-73.98123299999999
87,Q,24    Broadway Express,2020-04-15 02:10:30,Coney Island - Stillwell Av,40.577422,-73.98123299999999
